customer_id,total_spent,customer_segment
7262620000000.0,97358.0,High-value
7262650000000.0,123018.01,High-value
7299310000000.0,281445.31,High-value
7310040000000.0,128468.03,High-value
7315950000000.0,82801.0,High-value
7335520000000.0,136333.04,High-value
7337510000000.0,81185.82,High-value
7339890000000.0,62521.01,High-value
7359700000000.0,96482.04000000001,High-value
7388840000000.0,226455.01,High-value
7389200000000.0,128864.05,High-value
7394710000000.0,133070.04,High-value
7405900000000.0,155951.02,High-value
7413410000000.0,320665.01,High-value
7413540000000.0,143628.01,High-value
7418790000000.0,202241.42,High-value
7419120000000.0,93482.05,High-value
7421090000000.0,80365.01,High-value
7424880000000.0,147395.04,High-value
7436290000000.0,68147.0,High-value
7436360000000.0,215285.03,High-value
7441430000000.0,77105.01,High-value
7446000000000.0,57288.01,High-value
7446080000000.0,55928.03,High-value
7446310000000.0,67080.0,High-value
7448360000000.0,144902.04,High-value
7449130000000.0,79841.03,High-value
7451070000000.0,69655.04000000001,High-value
7455810000000.0,65122.05,High-value
7456670000000.0,102471.0,High-value
7457140000000.0,370027.56,High-value
7458110000000.0,80210.32,High-value
7461500000000.0,57821.03,High-value
7461870000000.0,123513.02,High-value
7468340000000.0,59357.01,High-value
7469360000000.0,300779.19,High-value
7469460000000.0,65772.51,High-value
7469520000000.0,155886.3,High-value
7475850000000.0,105710.05,High-value
7476270000000.0,236619.01,High-value
7478900000000.0,152960.0,High-value
7479780000000.0,87213.02,High-value
7479930000000.0,420626.1,High-value
7481080000000.0,70222.02,High-value
7481500000000.0,107585.04,High-value
7483910000000.0,95368.0,High-value
7484900000000.0,74730.02,High-value
7486980000000.0,84779.01,High-value
7488200000000.0,124102.02,High-value
7488740000000.0,81198.04,High-value
7489930000000.0,78505.03,High-value
7491120000000.0,65794.04000000001,High-value
7491180000000.0,57408.06,High-value
7491220000000.0,73447.0,High-value
7491400000000.0,237705.13,High-value
7491440000000.0,112541.0,High-value
7491850000000.0,184357.05,High-value
7491970000000.0,95628.01,High-value
7492100000000.0,83810.03,High-value
7492110000000.0,156809.06,High-value
7492150000000.0,108193.06,High-value
7493260000000.0,97698.0,High-value
7493600000000.0,84614.02,High-value
7494390000000.0,110250.02,High-value
7494690000000.0,96054.03,High-value
7495040000000.0,64956.06,High-value
7495690000000.0,88432.02,High-value
7496090000000.0,57573.67,High-value
7496280000000.0,56654.01,High-value
7497060000000.0,65829.03,High-value
7497940000000.0,82249.02,High-value
7498130000000.0,174846.0,High-value
7498180000000.0,64441.16,High-value
7498300000000.0,111376.0,High-value
7498460000000.0,265910.32,High-value
7498500000000.0,65779.06,High-value
7498520000000.0,57907.02,High-value
7499140000000.0,85568.13,High-value
7500020000000.0,57358.05,High-value
7500100000000.0,109535.03,High-value
7500430000000.0,58570.03,High-value
7500470000000.0,58014.5,High-value
7501690000000.0,56620.01,High-value
7501760000000.0,72733.02,High-value
7502100000000.0,90982.05,High-value
7502880000000.0,60144.03,High-value
7504370000000.0,70466.01,High-value
7504510000000.0,59313.0,High-value
7506230000000.0,67861.09,High-value
7506280000000.0,68995.04,High-value
7518880000000.0,59474.03,High-value
7518960000000.0,67720.0,High-value
7527500000000.0,87741.0,High-value
7528440000000.0,148266.03,High-value
7528650000000.0,108276.0,High-value
7528880000000.0,87511.01,High-value
7528970000000.0,238603.12,High-value
7529020000000.0,108267.25,High-value
7529180000000.0,165172.05,High-value
7529400000000.0,54817.02,High-value
7529740000000.0,179447.04,High-value
7532600000000.0,76580.0,High-value
7534920000000.0,122049.03,High-value
7541590000000.0,58290.02,High-value
7544960000000.0,67888.07,High-value
7545970000000.0,59378.0,High-value
7548950000000.0,101952.07,High-value
7549570000000.0,318629.02,High-value
7551640000000.0,229866.06,High-value
7552230000000.0,100291.13,High-value
7552280000000.0,75274.12,High-value
7556510000000.0,83600.09,High-value
7557770000000.0,351037.13,High-value
7557920000000.0,67924.01,High-value
7558030000000.0,174258.0,High-value
